CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, comb, central, 1, -2.4, 2.4, 30, 670, 0, 1, "0.931535+(1.40704e-05*x)" 
0, comb, central, 0, -2.4, 2.4, 30, 670, 0, 1, "0.931535+(1.40704e-05*x)" 
0, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "0.931535+((1.40704e-05*x)-0.01710829883813858)" 
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "0.931535+((1.40704e-05*x)-0.020177565515041351)" 
0, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "0.931535+((1.40704e-05*x)-0.019350524991750717)" 
0, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "0.931535+((1.40704e-05*x)-0.027258865535259247)" 
0, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "0.931535+((1.40704e-05*x)-0.027310512959957123)" 
0, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "0.931535+((1.40704e-05*x)-0.039027795195579529)" 
0, comb, down, 1, -2.4, 2.4, 300, 670, 0, 1, "0.931535+((1.40704e-05*x)-0.089093379676342122)" 
0, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.931535+((1.40704e-05*x)-0.0085541494190692902)" 
0, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.931535+((1.40704e-05*x)-0.010088782757520676)" 
0, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.931535+((1.40704e-05*x)-0.0096752624958753586)" 
0, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.931535+((1.40704e-05*x)-0.013629432767629623)" 
0, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.931535+((1.40704e-05*x)-0.013655256479978561)" 
0, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.931535+((1.40704e-05*x)-0.019513897597789764)" 
0, comb, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.931535+((1.40704e-05*x)-0.044546689838171005)" 
0, comb, down_correlated, 1, -2.4, 2.4, 30, 50, 0, 1, "0.931535+((1.40704e-05*x)-0.01361542820326489)" 
0, comb, down_correlated, 1, -2.4, 2.4, 50, 70, 0, 1, "0.931535+((1.40704e-05*x)-0.017464422323520436)" 
0, comb, down_correlated, 1, -2.4, 2.4, 70, 100, 0, 1, "0.931535+((1.40704e-05*x)-0.016481366145054081)" 
0, comb, down_correlated, 1, -2.4, 2.4, 100, 140, 0, 1, "0.931535+((1.40704e-05*x)-0.024408712467312757)" 
0, comb, down_correlated, 1, -2.4, 2.4, 140, 200, 0, 1, "0.931535+((1.40704e-05*x)-0.025431859884798541)" 
0, comb, down_correlated, 1, -2.4, 2.4, 200, 300, 0, 1, "0.931535+((1.40704e-05*x)-0.037114646665829795)" 
0, comb, down_correlated, 1, -2.4, 2.4, 300, 670, 0, 1, "0.931535+((1.40704e-05*x)-0.085495909916035354)" 
0, comb, down_correlated, 0, -2.4, 2.4, 30, 50, 0, 1, "0.931535+((1.40704e-05*x)-0.0068077141016324449)" 
0, comb, down_correlated, 0, -2.4, 2.4, 50, 70, 0, 1, "0.931535+((1.40704e-05*x)-0.0087322111617602182)" 
0, comb, down_correlated, 0, -2.4, 2.4, 70, 100, 0, 1, "0.931535+((1.40704e-05*x)-0.0082406830725270403)" 
0, comb, down_correlated, 0, -2.4, 2.4, 100, 140, 0, 1, "0.931535+((1.40704e-05*x)-0.012204356233656379)" 
0, comb, down_correlated, 0, -2.4, 2.4, 140, 200, 0, 1, "0.931535+((1.40704e-05*x)-0.012715929942399271)" 
0, comb, down_correlated, 0, -2.4, 2.4, 200, 300, 0, 1, "0.931535+((1.40704e-05*x)-0.018557323332914898)" 
0, comb, down_correlated, 0, -2.4, 2.4, 300, 670, 0, 1, "0.931535+((1.40704e-05*x)-0.042747954958017621)" 
0, comb, down_uncorrelated, 1, -2.4, 2.4, 30, 50, 0, 1, "0.931535+((1.40704e-05*x)-0.010359247268831501)" 
0, comb, down_uncorrelated, 1, -2.4, 2.4, 50, 70, 0, 1, "0.931535+((1.40704e-05*x)-0.010105844992849784)" 
0, comb, down_uncorrelated, 1, -2.4, 2.4, 70, 100, 0, 1, "0.931535+((1.40704e-05*x)-0.010139397785324052)" 
0, comb, down_uncorrelated, 1, -2.4, 2.4, 100, 140, 0, 1, "0.931535+((1.40704e-05*x)-0.012135093982223427)" 
0, comb, down_uncorrelated, 1, -2.4, 2.4, 140, 200, 0, 1, "0.931535+((1.40704e-05*x)-0.0099541258248005225)" 
0, comb, down_uncorrelated, 1, -2.4, 2.4, 200, 300, 0, 1, "0.931535+((1.40704e-05*x)-0.0120694573489743)" 
